id,from,to,airline,departure,arrival,price
66,CPT,DUR,CemAir Pty,1742290500,1742297700,1314
67,CPT,DUR,FlySafair,1742270400,1742277900,1062
68,CPT,DUR,FlySafair,1742292000,1742299500,1062
69,CPT,DUR,FlySafair,1742304900,1742312400,1062
70,CPT,DUR,LIFT Airline,1742274600,1742282100,1075
71,CPT,DUR,CemAir Pty,1742310000,1742317200,1314
72,CPT,DUR,FlySafair,1742286300,1742293800,1362
73,CPT,DUR,FlySafair,1742314800,1742322300,762
74,CPT,DUR,FlySafair,1742310000,1742317500,862
75,CPT,DUR,FlySafair,1742312700,1742320200,862
76,CPT,DUR,LIFT Airline,1742302800,1742310300,865
77,CPT,DUR,FlySafair,1742270400,1742277900,1062
78,CPT,DUR,FlySafair,1742292000,1742299500,1062
79,CPT,DUR,FlySafair,1742304900,1742312400,1062
80,CPT,DUR,LIFT Airline,1742274600,1742282100,1075
81,CPT,DUR,CemAir Pty,1742310000,1742317200,1314
82,CPT,DUR,FlySafair,1742286300,1742293800,1362
83,CPT,DUR,FlySafair,1742356800,1742364300,1262
84,CPT,DUR,LIFT Airline,1742361000,1742368500,1305
85,CPT,DUR,CemAir Pty,1742357400,1742364600,1429
86,CPT,DUR,FlySafair,1742406000,1742413500,1162
87,CPT,DUR,LIFT Airline,1742389200,1742396700,1305
88,CPT,DUR,FlySafair,1742364000,1742371500,1362
89,CPT,DUR,FlySafair,1742372700,1742380200,1362
90,CPT,DUR,FlySafair,1742375700,1742383200,1462
91,CPT,DUR,FlySafair,1742401200,1742408700,1462
92,CPT,DUR,CemAir Pty,1742376900,1742384100,1602
93,CPT,DUR,FlySafair,1742388900,1742396400,1662
94,CPT,DUR,FlySafair,1742399100,1742406600,1762
95,CPT,DUR,FlySafair,1742356800,1742364300,1262
96,CPT,DUR,LIFT Airline,1742361000,1742368500,1305
97,CPT,DUR,FlySafair,1742406000,1742413500,1162
98,CPT,DUR,LIFT Airline,1742389200,1742396700,1305
99,CPT,DUR,FlySafair,1742364000,1742371500,1362
100,CPT,DUR,FlySafair,1742372700,1742380200,1362
101,CPT,DUR,FlySafair,1742375700,1742383200,1462
102,CPT,DUR,FlySafair,1742401200,1742408700,1462
103,CPT,DUR,CemAir Pty,1742376900,1742384100,1602
104,CPT,DUR,FlySafair,1742388900,1742396400,1662
105,CPT,DUR,FlySafair,1742399100,1742406600,1762
106,CPT,DUR,LIFT Airline,1742447400,1742454900,1625
107,CPT,DUR,FlySafair,1742492400,1742499900,1662
108,CPT,DUR,FlySafair,1742459100,1742466600,1912
109,CPT,DUR,FlySafair,1742461800,1742469300,1912
110,CPT,DUR,FlySafair,1742443200,1742450700,1912
111,CPT,DUR,FlySafair,1742485500,1742493000,1912
112,CPT,DUR,FlySafair,1742486100,1742493600,1912
113,CPT,DUR,FlySafair,1742487600,1742495100,1912
114,CPT,DUR,FlySafair,1742464800,1742472300,2212
115,CPT,DUR,FlySafair,1742483700,1742491200,2362
116,CPT,DUR,LIFT Airline,1742475600,1742483100,2390
117,CPT,DUR,CemAir Pty,1742443800,1742451000,2464
118,CPT,DUR,CemAir Pty,1742463300,1742470500,2464
119,CPT,DUR,LIFT Airline,1742447400,1742454900,1625
120,CPT,DUR,FlySafair,1742492400,1742499900,1662
121,CPT,DUR,FlySafair,1742459100,1742466600,1912
122,CPT,DUR,FlySafair,1742443200,1742450700,1912
123,CPT,DUR,FlySafair,1742485500,1742493000,1912
124,CPT,DUR,FlySafair,1742486100,1742493600,1912
125,CPT,DUR,FlySafair,1742487600,1742495100,1912
126,CPT,DUR,FlySafair,1742464800,1742472300,2212
127,CPT,DUR,FlySafair,1742483700,1742491200,2362
128,CPT,DUR,LIFT Airline,1742475600,1742483100,2390
129,CPT,DUR,CemAir Pty,1742443800,1742451000,2464
130,CPT,DUR,CemAir Pty,1742463300,1742470500,2464
131,CPT,DUR,FlySafair,1742574000,1742581500,1662
132,CPT,DUR,FlySafair,1742578800,1742586300,1662
133,CPT,DUR,LIFT Airline,1742533800,1742541300,2185
134,CPT,DUR,FlySafair,1742572500,1742580000,2062
135,CPT,DUR,LIFT Airline,1742562000,1742569500,2185
136,CPT,DUR,FlySafair,1742529600,1742537100,2362
137,CPT,DUR,FlySafair,1742536800,1742544300,2362
138,CPT,DUR,FlySafair,1742548200,1742555700,2362
139,CPT,DUR,FlySafair,1742551200,1742558700,2362
140,CPT,DUR,FlySafair,1742545500,1742553000,2512
141,CPT,DUR,CemAir Pty,1742569200,1742576400,2637
142,CPT,DUR,CemAir Pty,1742530200,1742537400,4304
143,CPT,DUR,FlySafair,1742574000,1742581500,1662
144,CPT,DUR,FlySafair,1742578800,1742586300,1662
145,CPT,DUR,FlySafair,1742572500,1742580000,2062
146,CPT,DUR,LIFT Airline,1742562000,1742569500,2185
147,CPT,DUR,FlySafair,1742529600,1742537100,2362
148,CPT,DUR,FlySafair,1742536800,1742544300,2362
149,CPT,DUR,FlySafair,1742548200,1742555700,2362
150,CPT,DUR,FlySafair,1742551200,1742558700,2362
151,CPT,DUR,FlySafair,1742545500,1742553000,2512
152,CPT,DUR,CemAir Pty,1742569200,1742576400,2637
153,CPT,DUR,CemAir Pty,1742530200,1742537400,4304
154,CPT,DUR,LIFT Airline,1742620200,1742627700,1180
155,CPT,DUR,FlySafair,1742616000,1742623500,1262
156,CPT,DUR,FlySafair,1742658300,1742665800,1262
157,CPT,DUR,FlySafair,1742660400,1742667900,1162
158,CPT,DUR,FlySafair,1742662200,1742669700,1162
159,CPT,DUR,FlySafair,1742665200,1742672700,1162
160,CPT,DUR,LIFT Airline,1742643000,1742650500,1455
161,CPT,DUR,FlySafair,1742631900,1742639400,1562
162,CPT,DUR,FlySafair,1742637600,1742645100,1562
163,CPT,DUR,FlySafair,1742650500,1742658000,1662
164,CPT,DUR,CemAir Pty,1742616600,1742623800,1947
165,CPT,DUR,LIFT Airline,1742620200,1742627700,1180
166,CPT,DUR,FlySafair,1742616000,1742623500,1262
167,CPT,DUR,FlySafair,1742660400,1742667900,1162
168,CPT,DUR,FlySafair,1742662200,1742669700,1162
169,CPT,DUR,FlySafair,1742665200,1742672700,1162
170,CPT,DUR,LIFT Airline,1742643000,1742650500,1455
171,CPT,DUR,FlySafair,1742631900,1742639400,1562
172,CPT,DUR,FlySafair,1742637600,1742645100,1562
173,CPT,DUR,FlySafair,1742650500,1742658000,1662
174,CPT,DUR,CemAir Pty,1742616600,1742623800,1947
175,CPT,DUR,FlySafair,1742702400,1742709900,2212
176,CPT,DUR,LIFT Airline,1742712300,1742719800,2600
177,CPT,DUR,CemAir Pty,1742703000,1742710200,2637
178,CPT,DUR,FlySafair,1742709600,1742717100,2512
179,CPT,DUR,FlySafair,1742718300,1742725800,3062
180,CPT,DUR,FlySafair,1742721300,1742728800,3262
181,CPT,DUR,CemAir Pty,1742722500,1742729700,3430
182,CPT,DUR,FlySafair,1742751600,1742759100,3462
183,CPT,DUR,LIFT Airline,1742734800,1742742300,3600
184,CPT,DUR,FlySafair,1742726400,1742733900,3662
185,CPT,DUR,FlySafair,1742746800,1742754300,3662
186,CPT,DUR,FlySafair,1742702400,1742709900,2212
187,CPT,DUR,LIFT Airline,1742712300,1742719800,2600
188,CPT,DUR,FlySafair,1742709600,1742717100,2512
189,CPT,DUR,FlySafair,1742718300,1742725800,3062
190,CPT,DUR,FlySafair,1742721300,1742728800,3262
191,CPT,DUR,CemAir Pty,1742722500,1742729700,3430
192,CPT,DUR,FlySafair,1742751600,1742759100,3462
193,CPT,DUR,LIFT Airline,1742734800,1742742300,3600
194,CPT,DUR,FlySafair,1742726400,1742733900,3662
195,CPT,DUR,FlySafair,1742746800,1742754300,3662
196,CPT,DUR,FlySafair,1742833200,1742840700,2062
197,CPT,DUR,LIFT Airline,1742793000,1742800500,2390
198,CPT,DUR,CemAir Pty,1742828400,1742835600,2637
199,CPT,DUR,FlySafair,1742820000,1742827500,2362
200,CPT,DUR,FlySafair,1742831100,1742838600,2362
201,CPT,DUR,LIFT Airline,1742821200,1742828700,2390
202,CPT,DUR,FlySafair,1742788800,1742796300,2512
203,CPT,DUR,FlySafair,1742810400,1742817900,2512
204,CPT,DUR,FlySafair,1742804700,1742812200,2662
205,CPT,DUR,FlySafair,1742807400,1742814900,2662
206,CPT,DUR,CemAir Pty,1742808900,1742816100,3097
207,CPT,DUR,FlySafair,1742833200,1742840700,2062
208,CPT,DUR,LIFT Airline,1742793000,1742800500,2390
209,CPT,DUR,FlySafair,1742820000,1742827500,2362
210,CPT,DUR,FlySafair,1742831100,1742838600,2362
211,CPT,DUR,LIFT Airline,1742821200,1742828700,2390
212,CPT,DUR,FlySafair,1742788800,1742796300,2512
213,CPT,DUR,FlySafair,1742810400,1742817900,2512
214,CPT,DUR,FlySafair,1742804700,1742812200,2662
215,CPT,DUR,FlySafair,1742807400,1742814900,2662
216,CPT,DUR,CemAir Pty,1742808900,1742816100,3097
217,CPT,DUR,FlySafair,1742917500,1742925000,1362
218,CPT,DUR,CemAir Pty,1742914800,1742922000,1602
219,CPT,DUR,LIFT Airline,1742879400,1742886900,1625
220,CPT,DUR,FlySafair,1742914800,1742922300,1462
221,CPT,DUR,FlySafair,1742919600,1742927100,1462
222,CPT,DUR,LIFT Airline,1742907600,1742915100,1625
223,CPT,DUR,FlySafair,1742891100,1742898600,1762
224,CPT,DUR,FlySafair,1742896800,1742904300,1762
225,CPT,DUR,FlySafair,1742909700,1742917200,1762
226,CPT,DUR,CemAir Pty,1742875800,1742883000,1947
227,CPT,DUR,CemAir Pty,1742895300,1742902500,1947
228,CPT,DUR,FlySafair,1742917500,1742925000,1362
229,CPT,DUR,CemAir Pty,1742914800,1742922000,1602
230,CPT,DUR,FlySafair,1742914800,1742922300,1462
231,CPT,DUR,FlySafair,1742919600,1742927100,1462
232,CPT,DUR,LIFT Airline,1742907600,1742915100,1625
233,CPT,DUR,FlySafair,1742891100,1742898600,1762
234,CPT,DUR,FlySafair,1742896800,1742904300,1762
235,CPT,DUR,FlySafair,1742909700,1742917200,1762
236,CPT,DUR,CemAir Pty,1742875800,1742883000,1947
237,CPT,DUR,CemAir Pty,1742895300,1742902500,1947
238,CPT,DUR,FlySafair,1742961600,1742969100,1362
239,CPT,DUR,LIFT Airline,1742965800,1742973300,1455
240,CPT,DUR,FlySafair,1742968800,1742976300,1562
241,CPT,DUR,FlySafair,1743003900,1743011400,1562
242,CPT,DUR,FlySafair,1743006000,1743013500,1562
243,CPT,DUR,LIFT Airline,1742994000,1743001500,1625
244,CPT,DUR,FlySafair,1742993700,1743001200,1662
245,CPT,DUR,FlySafair,1742977500,1742985000,1762
246,CPT,DUR,FlySafair,1742980500,1742988000,1912
247,CPT,DUR,CemAir Pty,1742981700,1742988900,1947
248,CPT,DUR,CemAir Pty,1743001200,1743008400,1947
249,CPT,DUR,FlySafair,1742961600,1742969100,1362
250,CPT,DUR,LIFT Airline,1742965800,1742973300,1455
251,CPT,DUR,FlySafair,1743003900,1743011400,1562
252,CPT,DUR,FlySafair,1743006000,1743013500,1562
253,CPT,DUR,LIFT Airline,1742994000,1743001500,1625
254,CPT,DUR,FlySafair,1742993700,1743001200,1662
255,CPT,DUR,FlySafair,1742977500,1742985000,1762
256,CPT,DUR,FlySafair,1742980500,1742988000,1912
257,CPT,DUR,CemAir Pty,1742981700,1742988900,1947
258,CPT,DUR,CemAir Pty,1743001200,1743008400,1947
259,CPT,DUR,FlySafair,1743092400,1743099900,1562
260,CPT,DUR,LIFT Airline,1743052200,1743059700,1805
261,CPT,DUR,FlySafair,1743063900,1743071400,1912
262,CPT,DUR,FlySafair,1743048000,1743055500,1912
263,CPT,DUR,FlySafair,1743090300,1743097800,1912
264,CPT,DUR,FlySafair,1743090900,1743098400,1912
265,CPT,DUR,FlySafair,1743097200,1743104700,1912
266,CPT,DUR,FlySafair,1743066600,1743074100,2062
267,CPT,DUR,FlySafair,1743088500,1743096000,2062
268,CPT,DUR,FlySafair,1743069600,1743077100,2212
269,CPT,DUR,CemAir Pty,1743068100,1743075300,2637
270,CPT,DUR,LIFT Airline,1743080400,1743087900,2810
271,CPT,DUR,CemAir Pty,1743048600,1743055800,3097
272,CPT,DUR,FlySafair,1743092400,1743099900,1562
273,CPT,DUR,LIFT Airline,1743052200,1743059700,1805
274,CPT,DUR,FlySafair,1743048000,1743055500,1912
275,CPT,DUR,FlySafair,1743090300,1743097800,1912
276,CPT,DUR,FlySafair,1743090900,1743098400,1912
277,CPT,DUR,FlySafair,1743097200,1743104700,1912
278,CPT,DUR,FlySafair,1743066600,1743074100,2062
279,CPT,DUR,FlySafair,1743088500,1743096000,2062
280,CPT,DUR,FlySafair,1743069600,1743077100,2212
281,CPT,DUR,CemAir Pty,1743068100,1743075300,2637
282,CPT,DUR,LIFT Airline,1743080400,1743087900,2810
283,CPT,DUR,CemAir Pty,1743048600,1743055800,3097
284,CPT,DUR,LIFT Airline,1743166800,1743174300,2600
285,CPT,DUR,FlySafair,1743150300,1743157800,3262
286,CPT,DUR,FlySafair,1743153000,1743160500,3262
287,CPT,DUR,FlySafair,1743178800,1743186300,3262
288,CPT,DUR,FlySafair,1743183600,1743191100,3262
289,CPT,DUR,FlySafair,1743156000,1743163500,3462
290,CPT,DUR,LIFT Airline,1743138600,1743146100,3600
291,CPT,DUR,FlySafair,1743134400,1743141900,3662
292,CPT,DUR,FlySafair,1743141600,1743149100,3662
293,CPT,DUR,FlySafair,1743177300,1743184800,3662
294,CPT,DUR,CemAir Pty,1743135000,1743142200,4304
295,CPT,DUR,CemAir Pty,1743154500,1743161700,4304
296,CPT,DUR,LIFT Airline,1743166800,1743174300,2600
297,CPT,DUR,FlySafair,1743150300,1743157800,3262
298,CPT,DUR,FlySafair,1743178800,1743186300,3262
299,CPT,DUR,FlySafair,1743183600,1743191100,3262
300,CPT,DUR,FlySafair,1743156000,1743163500,3462
301,CPT,DUR,LIFT Airline,1743138600,1743146100,3600
302,CPT,DUR,FlySafair,1743134400,1743141900,3662
303,CPT,DUR,FlySafair,1743141600,1743149100,3662
304,CPT,DUR,FlySafair,1743177300,1743184800,3662
305,CPT,DUR,CemAir Pty,1743135000,1743142200,4304
306,CPT,DUR,CemAir Pty,1743154500,1743161700,4304
307,CPT,DUR,FlySafair,1743270000,1743277500,2212
308,CPT,DUR,FlySafair,1743267000,1743274500,2362
309,CPT,DUR,CemAir Pty,1743254700,1743261900,3097
310,CPT,DUR,FlySafair,1743263100,1743270600,2862
311,CPT,DUR,FlySafair,1743265200,1743272700,3262
312,CPT,DUR,FlySafair,1743255300,1743262800,3462
313,CPT,DUR,LIFT Airline,1743225000,1743232500,3600
314,CPT,DUR,LIFT Airline,1743247800,1743255300,3600
315,CPT,DUR,FlySafair,1743270000,1743277500,2212
316,CPT,DUR,FlySafair,1743267000,1743274500,2362
317,CPT,DUR,FlySafair,1743263100,1743270600,2862
318,CPT,DUR,FlySafair,1743265200,1743272700,3262
319,CPT,DUR,FlySafair,1743255300,1743262800,3462
320,CPT,DUR,LIFT Airline,1743225000,1743232500,3600
321,CPT,DUR,LIFT Airline,1743247800,1743255300,3600
322,CPT,DUR,FlySafair,1743356400,1743363900,2212
323,CPT,DUR,LIFT Airline,1743317100,1743324600,2600
324,CPT,DUR,FlySafair,1743323100,1743330600,2662
325,CPT,DUR,FlySafair,1743351600,1743359100,2512
326,CPT,DUR,FlySafair,1743349500,1743357000,2662
327,CPT,DUR,FlySafair,1743326100,1743333600,2862
328,CPT,DUR,LIFT Airline,1743339600,1743347100,3030
329,CPT,DUR,FlySafair,1743307200,1743314700,3062
330,CPT,DUR,FlySafair,1743331200,1743338700,3062
331,CPT,DUR,CemAir Pty,1743307800,1743315000,3097
332,CPT,DUR,FlySafair,1743314400,1743321900,3262
333,CPT,DUR,CemAir Pty,1743327300,1743334500,3430
334,CPT,DUR,FlySafair,1743356400,1743363900,2212
335,CPT,DUR,LIFT Airline,1743317100,1743324600,2600
336,CPT,DUR,FlySafair,1743351600,1743359100,2512
337,CPT,DUR,FlySafair,1743349500,1743357000,2662
338,CPT,DUR,FlySafair,1743326100,1743333600,2862
339,CPT,DUR,LIFT Airline,1743339600,1743347100,3030
340,CPT,DUR,FlySafair,1743307200,1743314700,3062
341,CPT,DUR,FlySafair,1743331200,1743338700,3062
342,CPT,DUR,CemAir Pty,1743307800,1743315000,3097
343,CPT,DUR,FlySafair,1743314400,1743321900,3262
344,CPT,DUR,CemAir Pty,1743327300,1743334500,3430
345,CPT,DUR,FlySafair,1743442800,1743450300,1562
346,CPT,DUR,FlySafair,1743438000,1743445500,1662
347,CPT,DUR,FlySafair,1743435900,1743443400,1762
348,CPT,DUR,LIFT Airline,1743397800,1743405300,2185
349,CPT,DUR,FlySafair,1743393600,1743401100,1912
350,CPT,DUR,FlySafair,1743409500,1743417000,2062
351,CPT,DUR,FlySafair,1743412200,1743419700,2062
352,CPT,DUR,FlySafair,1743415200,1743422700,2062
353,CPT,DUR,LIFT Airline,1743426000,1743433500,2185
354,CPT,DUR,CemAir Pty,1743433200,1743440400,2637
355,CPT,DUR,CemAir Pty,1743413700,1743420900,3097
356,CPT,DUR,FlySafair,1743442800,1743450300,1562
357,CPT,DUR,FlySafair,1743438000,1743445500,1662
358,CPT,DUR,FlySafair,1743435900,1743443400,1762
359,CPT,DUR,FlySafair,1743393600,1743401100,1912
360,CPT,DUR,FlySafair,1743409500,1743417000,2062
361,CPT,DUR,FlySafair,1743412200,1743419700,2062
362,CPT,DUR,FlySafair,1743415200,1743422700,2062
363,CPT,DUR,LIFT Airline,1743426000,1743433500,2185
364,CPT,DUR,CemAir Pty,1743433200,1743440400,2637
365,CPT,DUR,CemAir Pty,1743413700,1743420900,3097
366,CPT,DUR,FlySafair,1743480000,1743487500,1570
367,CPT,DUR,LIFT Airline,1743484200,1743491700,1805
368,CPT,DUR,CemAir Pty,1743500100,1743507300,1954
369,CPT,DUR,FlySafair,1743519600,1743527100,1570
370,CPT,DUR,FlySafair,1743521400,1743528900,1570
371,CPT,DUR,FlySafair,1743522300,1743529800,1570
372,CPT,DUR,FlySafair,1743524400,1743531900,1570
373,CPT,DUR,FlySafair,1743529200,1743536700,1570
374,CPT,DUR,FlySafair,1743495900,1743503400,1770
375,CPT,DUR,FlySafair,1743501600,1743509100,1770
376,CPT,DUR,FlySafair,1743514500,1743522000,1770
377,CPT,DUR,CemAir Pty,1743519600,1743526800,1954
378,CPT,DUR,LIFT Airline,1743512400,1743519900,2000
379,CPT,DUR,FlySafair,1743480000,1743487500,1570
380,CPT,DUR,LIFT Airline,1743484200,1743491700,1805
381,CPT,DUR,FlySafair,1743519600,1743527100,1570
382,CPT,DUR,FlySafair,1743521400,1743528900,1570
383,CPT,DUR,FlySafair,1743522300,1743529800,1570
384,CPT,DUR,FlySafair,1743524400,1743531900,1570
385,CPT,DUR,FlySafair,1743529200,1743536700,1570
386,CPT,DUR,FlySafair,1743495900,1743503400,1770
387,CPT,DUR,FlySafair,1743501600,1743509100,1770
388,CPT,DUR,FlySafair,1743514500,1743522000,1770
389,CPT,DUR,CemAir Pty,1743519600,1743526800,1954
390,CPT,DUR,LIFT Airline,1743512400,1743519900,2000
391,CPT,DUR,LIFT Airline,1743570600,1743578100,1625
392,CPT,DUR,FlySafair,1743573600,1743581100,1670
393,CPT,DUR,CemAir Pty,1743586500,1743593700,1954
394,CPT,DUR,FlySafair,1743566400,1743573900,1670
395,CPT,DUR,FlySafair,1743608700,1743616200,1670
396,CPT,DUR,FlySafair,1743610800,1743618300,1670
397,CPT,DUR,FlySafair,1743615600,1743623100,1670
398,CPT,DUR,FlySafair,1743582300,1743589800,1920
399,CPT,DUR,FlySafair,1743585300,1743592800,1920
400,CPT,DUR,CemAir Pty,1743567000,1743574200,1954
401,CPT,DUR,FlySafair,1743598500,1743606000,2070
402,CPT,DUR,CemAir Pty,1743606000,1743613200,2126
403,CPT,DUR,LIFT Airline,1743570600,1743578100,1625
404,CPT,DUR,FlySafair,1743573600,1743581100,1670
405,CPT,DUR,FlySafair,1743566400,1743573900,1670
406,CPT,DUR,FlySafair,1743608700,1743616200,1670
407,CPT,DUR,FlySafair,1743610800,1743618300,1670
408,CPT,DUR,FlySafair,1743615600,1743623100,1670
409,CPT,DUR,FlySafair,1743582300,1743589800,1920
410,CPT,DUR,FlySafair,1743585300,1743592800,1920
411,CPT,DUR,CemAir Pty,1743567000,1743574200,1954
412,CPT,DUR,FlySafair,1743598500,1743606000,2070
413,CPT,DUR,CemAir Pty,1743606000,1743613200,2126
414,CPT,DUR,FlySafair,1743652800,1743660300,1670
415,CPT,DUR,FlySafair,1743695100,1743702600,1670
416,CPT,DUR,LIFT Airline,1743685200,1743692700,1805
417,CPT,DUR,CemAir Pty,1743653400,1743660600,1954
418,CPT,DUR,FlySafair,1743697200,1743704700,1670
419,CPT,DUR,FlySafair,1743702000,1743709500,1670
420,CPT,DUR,FlySafair,1743693300,1743700800,1770
421,CPT,DUR,FlySafair,1743696900,1743704400,1770
422,CPT,DUR,LIFT Airline,1743657000,1743664500,2000
423,CPT,DUR,FlySafair,1743668700,1743676200,2070
424,CPT,DUR,FlySafair,1743671400,1743678900,2070
425,CPT,DUR,CemAir Pty,1743692400,1743699600,2126
426,CPT,DUR,FlySafair,1743674400,1743681900,2220
427,CPT,DUR,FlySafair,1743652800,1743660300,1670
428,CPT,DUR,FlySafair,1743695100,1743702600,1670
429,CPT,DUR,LIFT Airline,1743685200,1743692700,1805
430,CPT,DUR,FlySafair,1743697200,1743704700,1670
431,CPT,DUR,FlySafair,1743702000,1743709500,1670
432,CPT,DUR,FlySafair,1743693300,1743700800,1770
433,CPT,DUR,FlySafair,1743696900,1743704400,1770
434,CPT,DUR,LIFT Airline,1743657000,1743664500,2000
435,CPT,DUR,FlySafair,1743668700,1743676200,2070
436,CPT,DUR,FlySafair,1743671400,1743678900,2070
437,CPT,DUR,CemAir Pty,1743692400,1743699600,2126
438,CPT,DUR,FlySafair,1743674400,1743681900,2220
439,CPT,DUR,FlySafair,1743739200,1743746700,1570
440,CPT,DUR,FlySafair,1743746400,1743753900,1670
441,CPT,DUR,LIFT Airline,1743743400,1743750900,1805
442,CPT,DUR,FlySafair,1743788400,1743795900,1570
443,CPT,DUR,FlySafair,1743783600,1743791100,1770
444,CPT,DUR,FlySafair,1743755100,1743762600,1920
445,CPT,DUR,FlySafair,1743757800,1743765300,2070
446,CPT,DUR,FlySafair,1743782100,1743789600,2070
447,CPT,DUR,LIFT Airline,1743771600,1743779100,2390
448,CPT,DUR,CemAir Pty,1743739800,1743747000,2471
449,CPT,DUR,CemAir Pty,1743759300,1743766500,2471
450,CPT,DUR,CemAir Pty,1743778800,1743786000,2471
451,CPT,DUR,FlySafair,1743739200,1743746700,1570
452,CPT,DUR,FlySafair,1743746400,1743753900,1670
453,CPT,DUR,FlySafair,1743788400,1743795900,1570
454,CPT,DUR,FlySafair,1743783600,1743791100,1770
455,CPT,DUR,FlySafair,1743755100,1743762600,1920
456,CPT,DUR,FlySafair,1743757800,1743765300,2070
457,CPT,DUR,FlySafair,1743782100,1743789600,2070
458,CPT,DUR,LIFT Airline,1743771600,1743779100,2390
459,CPT,DUR,CemAir Pty,1743739800,1743747000,2471
460,CPT,DUR,CemAir Pty,1743759300,1743766500,2471
461,CPT,DUR,CemAir Pty,1743778800,1743786000,2471
462,CPT,DUR,FlySafair,1743825600,1743833100,1920
463,CPT,DUR,LIFT Airline,1743829800,1743837300,2185
464,CPT,DUR,CemAir Pty,1743826200,1743833400,2471
465,CPT,DUR,FlySafair,1743874800,1743882300,2070
466,CPT,DUR,FlySafair,1743870000,1743877500,2220
467,CPT,DUR,FlySafair,1743871800,1743879300,2220
468,CPT,DUR,FlySafair,1743867900,1743875400,2370
469,CPT,DUR,FlySafair,1743841500,1743849000,2670
470,CPT,DUR,FlySafair,1743860100,1743867600,2670
471,CPT,DUR,LIFT Airline,1743852600,1743860100,2810
